,State,Year,Quarter,District,Reg_Users
282,Arunanchal Pradesh,2018,3,east siang,3590
283,Arunanchal Pradesh,2018,3,tawang,3112
284,Arunanchal Pradesh,2018,3,changlang,2889
285,Arunanchal Pradesh,2018,3,lohit,2612
286,Arunanchal Pradesh,2018,3,namsai,1862
287,Arunanchal Pradesh,2018,3,west siang,1652
288,Arunanchal Pradesh,2018,3,lower dibang valley,1286
289,Arunanchal Pradesh,2018,3,tirap,1226
290,Arunanchal Pradesh,2018,4,papum pare,21342
291,Arunanchal Pradesh,2018,4,west kameng,6492
292,Arunanchal Pradesh,2018,4,east siang,4813
293,Arunanchal Pradesh,2018,4,tawang,4085
294,Arunanchal Pradesh,2018,4,changlang,4036
295,Arunanchal Pradesh,2018,4,lohit,3588
296,Arunanchal Pradesh,2018,4,namsai,2495
297,Arunanchal Pradesh,2018,4,west siang,2117
298,Arunanchal Pradesh,2018,4,lower dibang valley,1827
299,Arunanchal Pradesh,2018,4,tirap,1684
300,Arunanchal Pradesh,2019,1,papum pare,26298
301,Arunanchal Pradesh,2019,1,west kameng,8115
302,Arunanchal Pradesh,2019,1,east siang,5899
303,Arunanchal Pradesh,2019,1,changlang,5210
304,Arunanchal Pradesh,2019,1,tawang,5023
305,Arunanchal Pradesh,2019,1,lohit,4416
306,Arunanchal Pradesh,2019,1,namsai,3153
307,Arunanchal Pradesh,2019,1,west siang,2656
308,Arunanchal Pradesh,2019,1,lower dibang valley,2314
309,Arunanchal Pradesh,2019,1,tirap,2082
310,Arunanchal Pradesh,2019,2,papum pare,32800
311,Arunanchal Pradesh,2019,2,west kameng,9782
312,Arunanchal Pradesh,2019,2,east siang,7319
313,Arunanchal Pradesh,2019,2,changlang,6884
314,Arunanchal Pradesh,2019,2,tawang,5908
315,Arunanchal Pradesh,2019,2,lohit,5485
316,Arunanchal Pradesh,2019,2,namsai,3914
317,Arunanchal Pradesh,2019,2,west siang,3393
318,Arunanchal Pradesh,2019,2,lower dibang valley,2842
319,Arunanchal Pradesh,2019,2,tirap,2697
320,Arunanchal Pradesh,2019,3,papum pare,38845
321,Arunanchal Pradesh,2019,3,west kameng,11186
322,Arunanchal Pradesh,2019,3,east siang,8571
323,Arunanchal Pradesh,2019,3,changlang,8145
324,Arunanchal Pradesh,2019,3,tawang,6553
325,Arunanchal Pradesh,2019,3,lohit,6421
326,Arunanchal Pradesh,2019,3,namsai,4563
327,Arunanchal Pradesh,2019,3,west siang,4101
328,Arunanchal Pradesh,2019,3,lower dibang valley,3398
329,Arunanchal Pradesh,2019,3,tirap,3099
330,Arunanchal Pradesh,2019,4,papum pare,44746
331,Arunanchal Pradesh,2019,4,west kameng,12562
332,Arunanchal Pradesh,2019,4,east siang,9859
333,Arunanchal Pradesh,2019,4,changlang,9662
334,Arunanchal Pradesh,2019,4,lohit,7386
335,Arunanchal Pradesh,2019,4,tawang,7303
336,Arunanchal Pradesh,2019,4,namsai,5190
337,Arunanchal Pradesh,2019,4,west siang,4773
338,Arunanchal Pradesh,2019,4,lower dibang valley,3944
339,Arunanchal Pradesh,2019,4,tirap,3605
340,Arunanchal Pradesh,2020,1,papum pare,51342
341,Arunanchal Pradesh,2020,1,west kameng,13983
342,Arunanchal Pradesh,2020,1,east siang,11298
343,Arunanchal Pradesh,2020,1,changlang,11262
344,Arunanchal Pradesh,2020,1,lohit,8454
345,Arunanchal Pradesh,2020,1,tawang,8048
346,Arunanchal Pradesh,2020,1,namsai,6029
347,Arunanchal Pradesh,2020,1,west siang,5757
348,Arunanchal Pradesh,2020,1,lower dibang valley,4650
349,Arunanchal Pradesh,2020,1,lower subansiri,4351
350,Arunanchal Pradesh,2020,2,papum pare,59968
351,Arunanchal Pradesh,2020,2,west kameng,15766
352,Arunanchal Pradesh,2020,2,changlang,14036
353,Arunanchal Pradesh,2020,2,east siang,13601
354,Arunanchal Pradesh,2020,2,lohit,10154
355,Arunanchal Pradesh,2020,2,tawang,8993
356,Arunanchal Pradesh,2020,2,namsai,7426
357,Arunanchal Pradesh,2020,2,west siang,7239
358,Arunanchal Pradesh,2020,2,lower dibang valley,5782
359,Arunanchal Pradesh,2020,2,lower subansiri,5392
360,Arunanchal Pradesh,2020,3,papum pare,69419
361,Arunanchal Pradesh,2020,3,west kameng,17636
362,Arunanchal Pradesh,2020,3,changlang,16385
363,Arunanchal Pradesh,2020,3,east siang,15921
364,Arunanchal Pradesh,2020,3,lohit,11755
365,Arunanchal Pradesh,2020,3,tawang,9944
366,Arunanchal Pradesh,2020,3,west siang,8623
367,Arunanchal Pradesh,2020,3,namsai,8553
368,Arunanchal Pradesh,2020,3,lower dibang valley,6799
369,Arunanchal Pradesh,2020,3,lower subansiri,6456
370,Arunanchal Pradesh,2020,4,papum pare,77936
371,Arunanchal Pradesh,2020,4,west kameng,19464
372,Arunanchal Pradesh,2020,4,changlang,18203
373,Arunanchal Pradesh,2020,4,east siang,17822
374,Arunanchal Pradesh,2020,4,lohit,13126
375,Arunanchal Pradesh,2020,4,tawang,10909
376,Arunanchal Pradesh,2020,4,west siang,9911
377,Arunanchal Pradesh,2020,4,namsai,9437
378,Arunanchal Pradesh,2020,4,lower dibang valley,7693
379,Arunanchal Pradesh,2020,4,lower subansiri,7388
380,Arunanchal Pradesh,2021,1,papum pare,84715
381,Arunanchal Pradesh,2021,1,west kameng,21027
382,Arunanchal Pradesh,2021,1,changlang,19716
383,Arunanchal Pradesh,2021,1,east siang,19342
384,Arunanchal Pradesh,2021,1,lohit,14231
385,Arunanchal Pradesh,2021,1,tawang,11778
386,Arunanchal Pradesh,2021,1,west siang,10836
387,Arunanchal Pradesh,2021,1,namsai,10242
388,Arunanchal Pradesh,2021,1,lower dibang valley,8402
389,Arunanchal Pradesh,2021,1,lower subansiri,8044
390,Arunanchal Pradesh,2021,2,papum pare,90871
391,Arunanchal Pradesh,2021,2,west kameng,22625
392,Arunanchal Pradesh,2021,2,changlang,21404
393,Arunanchal Pradesh,2021,2,east siang,20817
394,Arunanchal Pradesh,2021,2,lohit,15360
395,Arunanchal Pradesh,2021,2,tawang,12636
396,Arunanchal Pradesh,2021,2,west siang,11657
397,Arunanchal Pradesh,2021,2,namsai,11111
398,Arunanchal Pradesh,2021,2,lower dibang valley,9094
399,Arunanchal Pradesh,2021,2,lower subansiri,8685
400,Arunanchal Pradesh,2021,3,papum pare,97854
401,Arunanchal Pradesh,2021,3,west kameng,24489
402,Arunanchal Pradesh,2021,3,changlang,23328
403,Arunanchal Pradesh,2021,3,east siang,22538
404,Arunanchal Pradesh,2021,3,lohit,16680
405,Arunanchal Pradesh,2021,3,tawang,13650
406,Arunanchal Pradesh,2021,3,west siang,12616
407,Arunanchal Pradesh,2021,3,namsai,12140
408,Arunanchal Pradesh,2021,3,lower dibang valley,9920
409,Arunanchal Pradesh,2021,3,lower subansiri,9451
410,Arunanchal Pradesh,2021,4,papum pare,104806
411,Arunanchal Pradesh,2021,4,west kameng,26237
412,Arunanchal Pradesh,2021,4,changlang,25155
413,Arunanchal Pradesh,2021,4,east siang,24208
414,Arunanchal Pradesh,2021,4,lohit,17980
415,Arunanchal Pradesh,2021,4,tawang,14665
416,Arunanchal Pradesh,2021,4,west siang,13555
417,Arunanchal Pradesh,2021,4,namsai,13092
418,Arunanchal Pradesh,2021,4,lower dibang valley,10679
419,Arunanchal Pradesh,2021,4,lower subansiri,10187
420,Arunanchal Pradesh,2022,1,papum pare,111271
421,Arunanchal Pradesh,2022,1,west kameng,27860
422,Arunanchal Pradesh,2022,1,changlang,26904
423,Arunanchal Pradesh,2022,1,east siang,25763
424,Arunanchal Pradesh,2022,1,lohit,19214
425,Arunanchal Pradesh,2022,1,tawang,15589
426,Arunanchal Pradesh,2022,1,west siang,14420
427,Arunanchal Pradesh,2022,1,namsai,14054
428,Arunanchal Pradesh,2022,1,lower dibang valley,11401
429,Arunanchal Pradesh,2022,1,lower subansiri,10854
430,Arunanchal Pradesh,2022,2,papum pare,117568
431,Arunanchal Pradesh,2022,2,west kameng,29424
432,Arunanchal Pradesh,2022,2,changlang,28495
433,Arunanchal Pradesh,2022,2,east siang,27240
434,Arunanchal Pradesh,2022,2,lohit,20325
435,Arunanchal Pradesh,2022,2,tawang,16475
436,Arunanchal Pradesh,2022,2,west siang,15231
437,Arunanchal Pradesh,2022,2,namsai,14887
438,Arunanchal Pradesh,2022,2,lower dibang valley,12040
439,Arunanchal Pradesh,2022,2,lower subansiri,11479
440,Arunanchal Pradesh,2022,3,papum pare,124095
441,Arunanchal Pradesh,2022,3,west kameng,30964
442,Arunanchal Pradesh,2022,3,changlang,29965
443,Arunanchal Pradesh,2022,3,east siang,28698
444,Arunanchal Pradesh,2022,3,lohit,21385
445,Arunanchal Pradesh,2022,3,tawang,17281
446,Arunanchal Pradesh,2022,3,west siang,16063
447,Arunanchal Pradesh,2022,3,namsai,15642
448,Arunanchal Pradesh,2022,3,lower dibang valley,12668
449,Arunanchal Pradesh,2022,3,lower subansiri,12085
450,Arunanchal Pradesh,2022,4,papum pare,130306
451,Arunanchal Pradesh,2022,4,west kameng,32237
452,Arunanchal Pradesh,2022,4,changlang,31196
453,Arunanchal Pradesh,2022,4,east siang,30033
454,Arunanchal Pradesh,2022,4,lohit,22359
455,Arunanchal Pradesh,2022,4,tawang,18003
456,Arunanchal Pradesh,2022,4,west siang,16816
457,Arunanchal Pradesh,2022,4,namsai,16322
458,Arunanchal Pradesh,2022,4,lower dibang valley,13188
459,Arunanchal Pradesh,2022,4,lower subansiri,12630
460,Assam,2018,1,kamrup metropolitan,87336
461,Assam,2018,1,dibrugarh,21182
462,Assam,2018,1,barpeta,20485
463,Assam,2018,1,nagaon,19619
464,Assam,2018,1,cachar,19567
465,Assam,2018,1,sonitpur,18986
466,Assam,2018,1,jorhat,16442
467,Assam,2018,1,tinsukia,15998
468,Assam,2018,1,kamrup,15241
469,Assam,2018,1,dhubri,11421
470,Assam,2018,2,kamrup metropolitan,124720
471,Assam,2018,2,dibrugarh,30527
472,Assam,2018,2,barpeta,29882
473,Assam,2018,2,nagaon,29412
474,Assam,2018,2,cachar,29381
475,Assam,2018,2,sonitpur,28409
476,Assam,2018,2,tinsukia,23900
477,Assam,2018,2,jorhat,23683
478,Assam,2018,2,kamrup,23595
479,Assam,2018,2,dhubri,16701
480,Assam,2018,3,kamrup metropolitan,164101
481,Assam,2018,3,barpeta,41158
482,Assam,2018,3,cachar,40888
483,Assam,2018,3,dibrugarh,40711
484,Assam,2018,3,nagaon,40687
485,Assam,2018,3,sonitpur,38797
486,Assam,2018,3,kamrup,33197
487,Assam,2018,3,tinsukia,32870
488,Assam,2018,3,jorhat,32134
489,Assam,2018,3,dhubri,22705
490,Assam,2018,4,kamrup metropolitan,214212
491,Assam,2018,4,barpeta,55068
492,Assam,2018,4,nagaon,54395
493,Assam,2018,4,cachar,53209
494,Assam,2018,4,dibrugarh,52539
495,Assam,2018,4,sonitpur,51420
496,Assam,2018,4,kamrup,44868
497,Assam,2018,4,tinsukia,42624
498,Assam,2018,4,jorhat,41100
499,Assam,2018,4,dhubri,30132
500,Assam,2019,1,kamrup metropolitan,255112
501,Assam,2019,1,barpeta,67729
502,Assam,2019,1,nagaon,66306
503,Assam,2019,1,cachar,64241
504,Assam,2019,1,dibrugarh,62656
505,Assam,2019,1,sonitpur,62218
506,Assam,2019,1,kamrup,54910
507,Assam,2019,1,tinsukia,51108
508,Assam,2019,1,jorhat,48594
509,Assam,2019,1,dhubri,36652
510,Assam,2019,2,kamrup metropolitan,299219
511,Assam,2019,2,barpeta,80544
512,Assam,2019,2,nagaon,79322
513,Assam,2019,2,cachar,76533
514,Assam,2019,2,dibrugarh,74342
515,Assam,2019,2,sonitpur,73717
516,Assam,2019,2,kamrup,65883
517,Assam,2019,2,tinsukia,60548
518,Assam,2019,2,jorhat,56713
519,Assam,2019,2,dhubri,43396
520,Assam,2019,3,kamrup metropolitan,340588
521,Assam,2019,3,nagaon,100993
522,Assam,2019,3,barpeta,92001
523,Assam,2019,3,cachar,88048
524,Assam,2019,3,dibrugarh,84029
525,Assam,2019,3,sonitpur,83930
526,Assam,2019,3,kamrup,75174
527,Assam,2019,3,tinsukia,68999
528,Assam,2019,3,jorhat,63858
529,Assam,2019,3,dhubri,48953
530,Assam,2019,4,kamrup metropolitan,373761
531,Assam,2019,4,nagaon,114296
532,Assam,2019,4,barpeta,103248
533,Assam,2019,4,cachar,98890
534,Assam,2019,4,sonitpur,93662
535,Assam,2019,4,dibrugarh,93614
536,Assam,2019,4,kamrup,84609
537,Assam,2019,4,tinsukia,76944
538,Assam,2019,4,jorhat,70809
539,Assam,2019,4,golaghat,54950
540,Assam,2020,1,kamrup metropolitan,412013
541,Assam,2020,1,nagaon,129371
542,Assam,2020,1,barpeta,116286
543,Assam,2020,1,cachar,111470
544,Assam,2020,1,sonitpur,105050
545,Assam,2020,1,dibrugarh,104663
546,Assam,2020,1,kamrup,95973
547,Assam,2020,1,tinsukia,86763
548,Assam,2020,1,jorhat,78731
