,State,Year,Quarter,District,Transaction_count,Transaction_amount,Transaction_type
149,Andhra Pradesh,2019,3,guntur district,6942304,13075661264.188034,TOTAL
150,Andhra Pradesh,2019,3,krishna district,8408474,16404073560.500784,TOTAL
151,Andhra Pradesh,2019,4,east godavari district,9285739,16816774065.301317,TOTAL
152,Andhra Pradesh,2019,4,srikakulam district,3712555,6832369301.879345,TOTAL
153,Andhra Pradesh,2019,4,spsr nellore district,5877804,11786014089.194027,TOTAL
154,Andhra Pradesh,2019,4,vizianagaram district,3998234,7175851807.068796,TOTAL
155,Andhra Pradesh,2019,4,visakhapatnam district,23594874,39133296330.044624,TOTAL
156,Andhra Pradesh,2019,4,prakasam district,4865473,10604077824.801035,TOTAL
157,Andhra Pradesh,2019,4,anantapur district,6764112,13887248889.064066,TOTAL
158,Andhra Pradesh,2019,4,ysr district,4793157,10865073855.730783,TOTAL
159,Andhra Pradesh,2019,4,west godavari district,4596479,9710614747.20177,TOTAL
160,Andhra Pradesh,2019,4,kurnool district,7001958,13233105728.54823,TOTAL
161,Andhra Pradesh,2019,4,chittoor district,11246986,19298476027.875484,TOTAL
162,Andhra Pradesh,2019,4,guntur district,9761330,18565626418.035915,TOTAL
163,Andhra Pradesh,2019,4,krishna district,11719402,23039786404.04664,TOTAL
164,Andhra Pradesh,2020,1,east godavari district,11346242,21854701379.428688,TOTAL
165,Andhra Pradesh,2020,1,srikakulam district,4835092,9777575594.177538,TOTAL
166,Andhra Pradesh,2020,1,spsr nellore district,7430247,15387829694.446861,TOTAL
167,Andhra Pradesh,2020,1,vizianagaram district,5042066,9879174240.920494,TOTAL
168,Andhra Pradesh,2020,1,visakhapatnam district,27115031,48809747614.678894,TOTAL
169,Andhra Pradesh,2020,1,prakasam district,6318396,14169104764.526735,TOTAL
170,Andhra Pradesh,2020,1,anantapur district,8466129,17864325752.82528,TOTAL
171,Andhra Pradesh,2020,1,ysr district,6031255,14059924636.819912,TOTAL
172,Andhra Pradesh,2020,1,west godavari district,5919670,12995834340.716236,TOTAL
173,Andhra Pradesh,2020,1,kurnool district,8246869,17022710311.813046,TOTAL
174,Andhra Pradesh,2020,1,chittoor district,13257740,23441848567.344193,TOTAL
175,Andhra Pradesh,2020,1,guntur district,11493331,22992734620.64621,TOTAL
176,Andhra Pradesh,2020,1,krishna district,12175289,24481702770.71471,TOTAL
177,Andhra Pradesh,2020,2,east godavari district,13130334,26319906327.32029,TOTAL
178,Andhra Pradesh,2020,2,srikakulam district,6425515,12153650076.875832,TOTAL
179,Andhra Pradesh,2020,2,spsr nellore district,9454274,20665376460.772232,TOTAL
180,Andhra Pradesh,2020,2,vizianagaram district,6690313,12819344389.545382,TOTAL
181,Andhra Pradesh,2020,2,visakhapatnam district,25300401,48293889917.41437,TOTAL
182,Andhra Pradesh,2020,2,prakasam district,8844580,19846026726.904335,TOTAL
183,Andhra Pradesh,2020,2,anantapur district,10473739,22094006659.412506,TOTAL
184,Andhra Pradesh,2020,2,ysr district,8033609,19597207268.132023,TOTAL
