,State,Year,Quarter,Payments,Transaction_type,Transaction_count,Transaction_amount
692,Chhattisgarh,2022,3,Recharge & bill payments,TOTAL,16538894,8069941553.075293
693,Chhattisgarh,2022,3,Financial Services,TOTAL,55775,61881709.73674865
694,Chhattisgarh,2022,3,Others,TOTAL,185994,128469268.59740639
695,Chhattisgarh,2022,4,Merchant payments,TOTAL,97405954,60247141797.94961
696,Chhattisgarh,2022,4,Peer-to-peer payments,TOTAL,63986789,183672880692.7266
697,Chhattisgarh,2022,4,Recharge & bill payments,TOTAL,16324117,8376603987.152398
698,Chhattisgarh,2022,4,Financial Services,TOTAL,63695,81169069.23462963
699,Chhattisgarh,2022,4,Others,TOTAL,179891,141385263.4082809
700,Dadara & Nagar Havelli & Daman & Diu,2018,1,Recharge & bill payments,TOTAL,95544,17526369.5804541
701,Dadara & Nagar Havelli & Daman & Diu,2018,1,Peer-to-peer payments,TOTAL,44599,151966933.24607396
702,Dadara & Nagar Havelli & Daman & Diu,2018,1,Merchant payments,TOTAL,1531,1580762.779739072
703,Dadara & Nagar Havelli & Daman & Diu,2018,1,Financial Services,TOTAL,1364,353171.5523814913
704,Dadara & Nagar Havelli & Daman & Diu,2018,1,Others,TOTAL,5511,4231146.95056825
705,Dadara & Nagar Havelli & Daman & Diu,2018,2,Recharge & bill payments,TOTAL,122834,30595592.007682398
706,Dadara & Nagar Havelli & Daman & Diu,2018,2,Peer-to-peer payments,TOTAL,69215,261995613.05482048
707,Dadara & Nagar Havelli & Daman & Diu,2018,2,Merchant payments,TOTAL,3544,4685536.036433555
708,Dadara & Nagar Havelli & Daman & Diu,2018,2,Financial Services,TOTAL,2996,383806.08546730166
709,Dadara & Nagar Havelli & Daman & Diu,2018,2,Others,TOTAL,4037,4410224.471747881
710,Dadara & Nagar Havelli & Daman & Diu,2018,3,Recharge & bill payments,TOTAL,157113,39790820.29359456
711,Dadara & Nagar Havelli & Daman & Diu,2018,3,Peer-to-peer payments,TOTAL,119346,396698085.4104552
712,Dadara & Nagar Havelli & Daman & Diu,2018,3,Merchant payments,TOTAL,7465,5693604.7441260815
713,Dadara & Nagar Havelli & Daman & Diu,2018,3,Financial Services,TOTAL,1477,297647.89589848556
714,Dadara & Nagar Havelli & Daman & Diu,2018,3,Others,TOTAL,4174,5159437.334100959
715,Dadara & Nagar Havelli & Daman & Diu,2018,4,Peer-to-peer payments,TOTAL,194214,582082154.4115133
716,Dadara & Nagar Havelli & Daman & Diu,2018,4,Recharge & bill payments,TOTAL,185793,49972030.11285484
717,Dadara & Nagar Havelli & Daman & Diu,2018,4,Merchant payments,TOTAL,15739,19577328.03937304
718,Dadara & Nagar Havelli & Daman & Diu,2018,4,Financial Services,TOTAL,2996,371674.6991335743
719,Dadara & Nagar Havelli & Daman & Diu,2018,4,Others,TOTAL,5340,6747429.538011953
720,Dadara & Nagar Havelli & Daman & Diu,2019,1,Peer-to-peer payments,TOTAL,408465,757657638.3173952
721,Dadara & Nagar Havelli & Daman & Diu,2019,1,Recharge & bill payments,TOTAL,225998,62660761.88806932
722,Dadara & Nagar Havelli & Daman & Diu,2019,1,Merchant payments,TOTAL,20694,17043867.88608146
723,Dadara & Nagar Havelli & Daman & Diu,2019,1,Financial Services,TOTAL,1645,221064.6189234741
724,Dadara & Nagar Havelli & Daman & Diu,2019,1,Others,TOTAL,5012,5786443.339431095
725,Dadara & Nagar Havelli & Daman & Diu,2019,2,Peer-to-peer payments,TOTAL,244134,734034142.8087387
726,Dadara & Nagar Havelli & Daman & Diu,2019,2,Recharge & bill payments,TOTAL,198184,63874445.55241879
727,Dadara & Nagar Havelli & Daman & Diu,2019,2,Merchant payments,TOTAL,40781,20816136.241969176
728,Dadara & Nagar Havelli & Daman & Diu,2019,2,Financial Services,TOTAL,748,155149.75618074698
729,Dadara & Nagar Havelli & Daman & Diu,2019,2,Others,TOTAL,5809,5561402.205763446
730,Dadara & Nagar Havelli & Daman & Diu,2019,3,Recharge & bill payments,TOTAL,319142,104597035.07984878
731,Dadara & Nagar Havelli & Daman & Diu,2019,3,Peer-to-peer payments,TOTAL,249944,821178569.0593253
732,Dadara & Nagar Havelli & Daman & Diu,2019,3,Merchant payments,TOTAL,63616,30634658.237494454
733,Dadara & Nagar Havelli & Daman & Diu,2019,3,Financial Services,TOTAL,533,425044.05141368794
734,Dadara & Nagar Havelli & Daman & Diu,2019,3,Others,TOTAL,5516,4636167.420289769
735,Dadara & Nagar Havelli & Daman & Diu,2019,4,Recharge & bill payments,TOTAL,351819,125809568.35055912
736,Dadara & Nagar Havelli & Daman & Diu,2019,4,Peer-to-peer payments,TOTAL,324464,1051976410.5472054
737,Dadara & Nagar Havelli & Daman & Diu,2019,4,Merchant payments,TOTAL,86758,45361559.23824883
738,Dadara & Nagar Havelli & Daman & Diu,2019,4,Financial Services,TOTAL,1019,267762.49056630814
739,Dadara & Nagar Havelli & Daman & Diu,2019,4,Others,TOTAL,4911,3225961.384460643
740,Dadara & Nagar Havelli & Daman & Diu,2020,1,Recharge & bill payments,TOTAL,407577,153340696.30393675
741,Dadara & Nagar Havelli & Daman & Diu,2020,1,Peer-to-peer payments,TOTAL,329005,1119439489.5005136
742,Dadara & Nagar Havelli & Daman & Diu,2020,1,Merchant payments,TOTAL,137040,66713356.798143014
743,Dadara & Nagar Havelli & Daman & Diu,2020,1,Financial Services,TOTAL,668,418783.1260904173
744,Dadara & Nagar Havelli & Daman & Diu,2020,1,Others,TOTAL,4289,2851043.563834071
745,Dadara & Nagar Havelli & Daman & Diu,2020,2,Recharge & bill payments,TOTAL,525974,178877986.7248658
746,Dadara & Nagar Havelli & Daman & Diu,2020,2,Peer-to-peer payments,TOTAL,323909,1052118443.3664523
747,Dadara & Nagar Havelli & Daman & Diu,2020,2,Merchant payments,TOTAL,118801,68938500.71228051
748,Dadara & Nagar Havelli & Daman & Diu,2020,2,Financial Services,TOTAL,1826,993268.2971840606
749,Dadara & Nagar Havelli & Daman & Diu,2020,2,Others,TOTAL,2642,1448254.787275234
750,Dadara & Nagar Havelli & Daman & Diu,2020,3,Recharge & bill payments,TOTAL,455603,201223380.1868608
751,Dadara & Nagar Havelli & Daman & Diu,2020,3,Peer-to-peer payments,TOTAL,419524,1401020928.2319155
752,Dadara & Nagar Havelli & Daman & Diu,2020,3,Merchant payments,TOTAL,257572,143497844.49072367
753,Dadara & Nagar Havelli & Daman & Diu,2020,3,Financial Services,TOTAL,1635,1778864.0123306382
754,Dadara & Nagar Havelli & Daman & Diu,2020,3,Others,TOTAL,3978,2268098.077531771
755,Dadara & Nagar Havelli & Daman & Diu,2020,4,Peer-to-peer payments,TOTAL,666995,2153786522.547576
756,Dadara & Nagar Havelli & Daman & Diu,2020,4,Merchant payments,TOTAL,631443,316510115.80515665
757,Dadara & Nagar Havelli & Daman & Diu,2020,4,Recharge & bill payments,TOTAL,509971,224246669.7783347
758,Dadara & Nagar Havelli & Daman & Diu,2020,4,Financial Services,TOTAL,2453,1683959.5099964456
759,Dadara & Nagar Havelli & Daman & Diu,2020,4,Others,TOTAL,6929,4283833.187441602
760,Dadara & Nagar Havelli & Daman & Diu,2021,1,Peer-to-peer payments,TOTAL,768921,2379220756.2230163
761,Dadara & Nagar Havelli & Daman & Diu,2021,1,Merchant payments,TOTAL,705821,367522132.38063604
762,Dadara & Nagar Havelli & Daman & Diu,2021,1,Recharge & bill payments,TOTAL,442926,213177144.73200977
763,Dadara & Nagar Havelli & Daman & Diu,2021,1,Financial Services,TOTAL,2243,1930008.9716834244
764,Dadara & Nagar Havelli & Daman & Diu,2021,1,Others,TOTAL,5333,3782868.8861592514
765,Dadara & Nagar Havelli & Daman & Diu,2021,2,Peer-to-peer payments,TOTAL,843550,2512913026.4279447
766,Dadara & Nagar Havelli & Daman & Diu,2021,2,Merchant payments,TOTAL,802899,430487473.930562
767,Dadara & Nagar Havelli & Daman & Diu,2021,2,Recharge & bill payments,TOTAL,471136,208762964.0120024
768,Dadara & Nagar Havelli & Daman & Diu,2021,2,Financial Services,TOTAL,1826,1763792.6506419359
769,Dadara & Nagar Havelli & Daman & Diu,2021,2,Others,TOTAL,5672,3741204.3977531465
770,Dadara & Nagar Havelli & Daman & Diu,2021,3,Merchant payments,TOTAL,1312241,706774071.9381688
771,Dadara & Nagar Havelli & Daman & Diu,2021,3,Peer-to-peer payments,TOTAL,1262732,3339347400.0643554
772,Dadara & Nagar Havelli & Daman & Diu,2021,3,Recharge & bill payments,TOTAL,544322,253199754.8745275
773,Dadara & Nagar Havelli & Daman & Diu,2021,3,Financial Services,TOTAL,2065,2252116.636459231
774,Dadara & Nagar Havelli & Daman & Diu,2021,3,Others,TOTAL,8110,4365759.277996017
775,Dadara & Nagar Havelli & Daman & Diu,2021,4,Merchant payments,TOTAL,2013673,1058989463.1650428
776,Dadara & Nagar Havelli & Daman & Diu,2021,4,Peer-to-peer payments,TOTAL,1577168,4202291071.7106133
777,Dadara & Nagar Havelli & Daman & Diu,2021,4,Recharge & bill payments,TOTAL,551618,294991582.16815025
778,Dadara & Nagar Havelli & Daman & Diu,2021,4,Financial Services,TOTAL,2909,3159306.4175118254
779,Dadara & Nagar Havelli & Daman & Diu,2021,4,Others,TOTAL,11717,6407962.869342193
780,Dadara & Nagar Havelli & Daman & Diu,2022,1,Merchant payments,TOTAL,2507246,1227972829.6970267
781,Dadara & Nagar Havelli & Daman & Diu,2022,1,Peer-to-peer payments,TOTAL,1745454,4674787017.541661
782,Dadara & Nagar Havelli & Daman & Diu,2022,1,Recharge & bill payments,TOTAL,538134,326296370.82357025
783,Dadara & Nagar Havelli & Daman & Diu,2022,1,Financial Services,TOTAL,2574,2661345.5534556974
784,Dadara & Nagar Havelli & Daman & Diu,2022,1,Others,TOTAL,9395,5330803.646676767
785,Dadara & Nagar Havelli & Daman & Diu,2022,2,Merchant payments,TOTAL,3346697,1536859131.3374817
786,Dadara & Nagar Havelli & Daman & Diu,2022,2,Peer-to-peer payments,TOTAL,1861799,5078832140.606572
787,Dadara & Nagar Havelli & Daman & Diu,2022,2,Recharge & bill payments,TOTAL,539562,372921225.4254243
788,Dadara & Nagar Havelli & Daman & Diu,2022,2,Financial Services,TOTAL,1849,2131607.7226029015
789,Dadara & Nagar Havelli & Daman & Diu,2022,2,Others,TOTAL,9864,4415675.718757721
790,Dadara & Nagar Havelli & Daman & Diu,2022,3,Merchant payments,TOTAL,3777156,1705567002.0586467
791,Dadara & Nagar Havelli & Daman & Diu,2022,3,Peer-to-peer payments,TOTAL,2086741,5382949597.510585
792,Dadara & Nagar Havelli & Daman & Diu,2022,3,Recharge & bill payments,TOTAL,592431,425206924.5270094
793,Dadara & Nagar Havelli & Daman & Diu,2022,3,Financial Services,TOTAL,2237,3194409.939898855
794,Dadara & Nagar Havelli & Daman & Diu,2022,3,Others,TOTAL,7056,3729425.46329771
795,Dadara & Nagar Havelli & Daman & Diu,2022,4,Merchant payments,TOTAL,4415771,1889046056.1988354
796,Dadara & Nagar Havelli & Daman & Diu,2022,4,Peer-to-peer payments,TOTAL,2215052,5737539058.403507
797,Dadara & Nagar Havelli & Daman & Diu,2022,4,Recharge & bill payments,TOTAL,548795,426040023.1105018
798,Dadara & Nagar Havelli & Daman & Diu,2022,4,Financial Services,TOTAL,2495,3169199.262533775
799,Dadara & Nagar Havelli & Daman & Diu,2022,4,Others,TOTAL,7472,3846409.1057498828
800,NCT of Delhi,2018,1,Recharge & bill payments,TOTAL,3947297,1320559612.770412
801,NCT of Delhi,2018,1,Peer-to-peer payments,TOTAL,2380820,9125685134.894358
802,NCT of Delhi,2018,1,Merchant payments,TOTAL,339809,375393115.19131327
803,NCT of Delhi,2018,1,Financial Services,TOTAL,136240,45588429.271575734
804,NCT of Delhi,2018,1,Others,TOTAL,318588,344277514.7923026
805,NCT of Delhi,2018,2,Recharge & bill payments,TOTAL,4511737,2078183615.8006349
806,NCT of Delhi,2018,2,Peer-to-peer payments,TOTAL,3542716,14348179103.109837
807,NCT of Delhi,2018,2,Merchant payments,TOTAL,837001,631597790.6002588
808,NCT of Delhi,2018,2,Financial Services,TOTAL,205991,66584728.19594695
809,NCT of Delhi,2018,2,Others,TOTAL,276278,321754664.4984691
810,NCT of Delhi,2018,3,Peer-to-peer payments,TOTAL,8557153,22670122888.868217
811,NCT of Delhi,2018,3,Recharge & bill payments,TOTAL,5305635,3261844270.537241
812,NCT of Delhi,2018,3,Merchant payments,TOTAL,3808395,1048422633.7093576
813,NCT of Delhi,2018,3,Financial Services,TOTAL,274526,45051151.35143036
814,NCT of Delhi,2018,3,Others,TOTAL,601339,350405916.1523186
815,NCT of Delhi,2018,4,Peer-to-peer payments,TOTAL,9973249,32389252494.75772
816,NCT of Delhi,2018,4,Merchant payments,TOTAL,9958967,2738429838.939273
817,NCT of Delhi,2018,4,Recharge & bill payments,TOTAL,7483633,3961160542.570066
818,NCT of Delhi,2018,4,Financial Services,TOTAL,265004,58162003.43614492
819,NCT of Delhi,2018,4,Others,TOTAL,1506866,575852739.0031943
820,NCT of Delhi,2019,1,Peer-to-peer payments,TOTAL,20216287,48250023720.99173
821,NCT of Delhi,2019,1,Merchant payments,TOTAL,13875931,3996618719.7994804
822,NCT of Delhi,2019,1,Recharge & bill payments,TOTAL,10744978,5521320539.356212
823,NCT of Delhi,2019,1,Financial Services,TOTAL,223095,30997039.697555833
824,NCT of Delhi,2019,1,Others,TOTAL,1947036,670171769.6522964
825,NCT of Delhi,2019,2,Merchant payments,TOTAL,20891431,6816878922.844399
826,NCT of Delhi,2019,2,Peer-to-peer payments,TOTAL,20570311,65953571241.26435
827,NCT of Delhi,2019,2,Recharge & bill payments,TOTAL,12869453,8035701902.391765
828,NCT of Delhi,2019,2,Financial Services,TOTAL,137774,33985068.68378611
829,NCT of Delhi,2019,2,Others,TOTAL,2702543,866678928.4439986
830,NCT of Delhi,2019,3,Merchant payments,TOTAL,29453368,9857221391.940361
831,NCT of Delhi,2019,3,Peer-to-peer payments,TOTAL,25201978,81904443496.29778
832,NCT of Delhi,2019,3,Recharge & bill payments,TOTAL,11133404,10406524192.884487
833,NCT of Delhi,2019,3,Financial Services,TOTAL,92061,27952186.986432005
834,NCT of Delhi,2019,3,Others,TOTAL,3657065,1000670778.3478061
835,NCT of Delhi,2019,4,Peer-to-peer payments,TOTAL,33040093,105858524152.38443
836,NCT of Delhi,2019,4,Merchant payments,TOTAL,32537378,12864577363.070576
837,NCT of Delhi,2019,4,Recharge & bill payments,TOTAL,11609898,9500486080.98845
838,NCT of Delhi,2019,4,Financial Services,TOTAL,57063,21512527.973989226
839,NCT of Delhi,2019,4,Others,TOTAL,3500565,779367300.4732571
840,NCT of Delhi,2020,1,Merchant payments,TOTAL,33951545,14470782771.054684
841,NCT of Delhi,2020,1,Peer-to-peer payments,TOTAL,32410795,108987600006.3667
842,NCT of Delhi,2020,1,Recharge & bill payments,TOTAL,12822919,9498791147.929193
843,NCT of Delhi,2020,1,Financial Services,TOTAL,46529,39908838.24852887
844,NCT of Delhi,2020,1,Others,TOTAL,2515816,619460878.9909673
845,NCT of Delhi,2020,2,Peer-to-peer payments,TOTAL,27155938,86227124454.10175
846,NCT of Delhi,2020,2,Merchant payments,TOTAL,24963931,12708327043.868336
847,NCT of Delhi,2020,2,Recharge & bill payments,TOTAL,13568505,8699886044.040596
848,NCT of Delhi,2020,2,Financial Services,TOTAL,64790,75405868.16164647
849,NCT of Delhi,2020,2,Others,TOTAL,288854,162694793.15869594
850,NCT of Delhi,2020,3,Peer-to-peer payments,TOTAL,41498638,140074023548.15637
851,NCT of Delhi,2020,3,Merchant payments,TOTAL,40973792,21858176583.0589
852,NCT of Delhi,2020,3,Recharge & bill payments,TOTAL,13448341,12883226305.336546
853,NCT of Delhi,2020,3,Financial Services,TOTAL,85689,114341865.2645722
854,NCT of Delhi,2020,3,Others,TOTAL,485401,234194502.8442282
855,NCT of Delhi,2020,4,Merchant payments,TOTAL,54581166,31106554562.7951
856,NCT of Delhi,2020,4,Peer-to-peer payments,TOTAL,49631928,171546055992.1488
857,NCT of Delhi,2020,4,Recharge & bill payments,TOTAL,14862946,12921793576.576857
858,NCT of Delhi,2020,4,Financial Services,TOTAL,114862,160007919.76894268
859,NCT of Delhi,2020,4,Others,TOTAL,1349515,530676173.2537967
860,NCT of Delhi,2021,1,Merchant payments,TOTAL,72615587,39861532639.012344
861,NCT of Delhi,2021,1,Peer-to-peer payments,TOTAL,61957428,210823551741.40936
862,NCT of Delhi,2021,1,Recharge & bill payments,TOTAL,21164274,15447408658.778738
863,NCT of Delhi,2021,1,Financial Services,TOTAL,153039,203106852.42387855
864,NCT of Delhi,2021,1,Others,TOTAL,1468676,592745151.8683048
865,NCT of Delhi,2021,2,Merchant payments,TOTAL,75620295,42933366743.23575
866,NCT of Delhi,2021,2,Peer-to-peer payments,TOTAL,68497718,223034955527.75317
867,NCT of Delhi,2021,2,Recharge & bill payments,TOTAL,25026678,15310096462.746447
868,NCT of Delhi,2021,2,Financial Services,TOTAL,158170,190019761.49741396
869,NCT of Delhi,2021,2,Others,TOTAL,854403,472659189.30861247
870,NCT of Delhi,2021,3,Merchant payments,TOTAL,115250887,64006915630.53262
871,NCT of Delhi,2021,3,Peer-to-peer payments,TOTAL,93292876,298005532606.47
872,NCT of Delhi,2021,3,Recharge & bill payments,TOTAL,28427032,20934734871.908962
873,NCT of Delhi,2021,3,Financial Services,TOTAL,144460,220660990.22066334
874,NCT of Delhi,2021,3,Others,TOTAL,1645353,690472449.1489255
875,NCT of Delhi,2021,4,Merchant payments,TOTAL,149204611,88990516304.07437
876,NCT of Delhi,2021,4,Peer-to-peer payments,TOTAL,112380292,376556972334.1598
877,NCT of Delhi,2021,4,Recharge & bill payments,TOTAL,30127352,22290161823.248642
878,NCT of Delhi,2021,4,Financial Services,TOTAL,199280,287950130.24921745
879,NCT of Delhi,2021,4,Others,TOTAL,771824,569713470.6592032
880,NCT of Delhi,2022,1,Merchant payments,TOTAL,174454937,98212381475.57239
881,NCT of Delhi,2022,1,Peer-to-peer payments,TOTAL,125111881,415305045689.30945
882,NCT of Delhi,2022,1,Recharge & bill payments,TOTAL,29435981,22482865572.904938
883,NCT of Delhi,2022,1,Financial Services,TOTAL,195184,271039329.10874933
884,NCT of Delhi,2022,1,Others,TOTAL,1801878,693588769.393249
885,NCT of Delhi,2022,2,Merchant payments,TOTAL,233412802,121657706565.01256
886,NCT of Delhi,2022,2,Peer-to-peer payments,TOTAL,143447534,480685895058.7076
887,NCT of Delhi,2022,2,Recharge & bill payments,TOTAL,32971294,26876059610.022118
888,NCT of Delhi,2022,2,Financial Services,TOTAL,160827,209425798.82013166
889,NCT of Delhi,2022,2,Others,TOTAL,641727,426563425.65446466
890,NCT of Delhi,2022,3,Merchant payments,TOTAL,276635347,134292748569.06271
891,NCT of Delhi,2022,3,Peer-to-peer payments,TOTAL,160580425,509428627035.3385
892,NCT of Delhi,2022,3,Recharge & bill payments,TOTAL,37572389,33177115465.46472
893,NCT of Delhi,2022,3,Financial Services,TOTAL,195218,265479580.4156591
894,NCT of Delhi,2022,3,Others,TOTAL,608782,448676465.8346823
895,NCT of Delhi,2022,4,Merchant payments,TOTAL,305621913,153114813286.24423
896,NCT of Delhi,2022,4,Peer-to-peer payments,TOTAL,171970100,559069397370.8649
897,NCT of Delhi,2022,4,Recharge & bill payments,TOTAL,36775874,31954251758.09231
898,NCT of Delhi,2022,4,Financial Services,TOTAL,228639,299454652.77800566
899,NCT of Delhi,2022,4,Others,TOTAL,606931,477098950.59646183
900,Goa,2018,1,Recharge & bill payments,TOTAL,85991,18273814.162708722
901,Goa,2018,1,Peer-to-peer payments,TOTAL,59651,268175048.06992978
902,Goa,2018,1,Merchant payments,TOTAL,7880,11036031.735657964
903,Goa,2018,1,Financial Services,TOTAL,1191,520105.642400422
904,Goa,2018,1,Others,TOTAL,6184,5851742.732386975
905,Goa,2018,2,Recharge & bill payments,TOTAL,120943,30994284.17044104
906,Goa,2018,2,Peer-to-peer payments,TOTAL,87878,419492232.52410376
907,Goa,2018,2,Merchant payments,TOTAL,12456,20162855.70611957
908,Goa,2018,2,Financial Services,TOTAL,1903,733429.427283199
909,Goa,2018,2,Others,TOTAL,6395,7221023.530667527
910,Goa,2018,3,Recharge & bill payments,TOTAL,158797,40314972.94208837
911,Goa,2018,3,Peer-to-peer payments,TOTAL,150297,639468418.1317002
912,Goa,2018,3,Merchant payments,TOTAL,21587,26634198.178851012
913,Goa,2018,3,Financial Services,TOTAL,1867,468171.36483984883
914,Goa,2018,3,Others,TOTAL,6963,6281208.620754639
915,Goa,2018,4,Peer-to-peer payments,TOTAL,246426,1021902315.4426756
916,Goa,2018,4,Recharge & bill payments,TOTAL,212122,54832855.89468471
917,Goa,2018,4,Merchant payments,TOTAL,45586,66666113.92145965
918,Goa,2018,4,Financial Services,TOTAL,2523,723599.2328183289
919,Goa,2018,4,Others,TOTAL,8098,8880194.430766659
920,Goa,2019,1,Peer-to-peer payments,TOTAL,378848,1310759847.8146646
921,Goa,2019,1,Recharge & bill payments,TOTAL,275277,78212835.0406034
922,Goa,2019,1,Merchant payments,TOTAL,74527,75946974.41483101
923,Goa,2019,1,Financial Services,TOTAL,2013,499592.0966860995
924,Goa,2019,1,Others,TOTAL,8147,9904147.90979165
925,Goa,2019,2,Peer-to-peer payments,TOTAL,373759,1391933790.7547765
926,Goa,2019,2,Recharge & bill payments,TOTAL,278060,93218689.41694948
927,Goa,2019,2,Merchant payments,TOTAL,104592,92873008.6474504
928,Goa,2019,2,Financial Services,TOTAL,1211,515859.8076807977
929,Goa,2019,2,Others,TOTAL,10819,13325754.760758925
930,Goa,2019,3,Peer-to-peer payments,TOTAL,475178,1704668027.0159788
931,Goa,2019,3,Recharge & bill payments,TOTAL,453806,157952854.9501171
932,Goa,2019,3,Merchant payments,TOTAL,150578,123948570.56857497
933,Goa,2019,3,Financial Services,TOTAL,1510,1282344.8444824044
934,Goa,2019,3,Others,TOTAL,11344,12515394.117688328
935,Goa,2019,4,Peer-to-peer payments,TOTAL,698728,2484453030.31845
936,Goa,2019,4,Recharge & bill payments,TOTAL,552421,205602115.14625147
937,Goa,2019,4,Merchant payments,TOTAL,250893,218404664.8638511
938,Goa,2019,4,Financial Services,TOTAL,1497,649712.8451498008
939,Goa,2019,4,Others,TOTAL,11733,14350825.325765317
940,Goa,2020,1,Peer-to-peer payments,TOTAL,817198,2851686768.653684
941,Goa,2020,1,Recharge & bill payments,TOTAL,678079,244739382.20701858
942,Goa,2020,1,Merchant payments,TOTAL,373110,298421548.1046571
943,Goa,2020,1,Financial Services,TOTAL,1762,1816477.5692472362
944,Goa,2020,1,Others,TOTAL,11088,13707055.389155574
945,Goa,2020,2,Recharge & bill payments,TOTAL,758617,241196540.9379891
946,Goa,2020,2,Peer-to-peer payments,TOTAL,493326,1766723888.2025127
947,Goa,2020,2,Merchant payments,TOTAL,221358,168591711.94693565
948,Goa,2020,2,Financial Services,TOTAL,3081,3328361.317987765
949,Goa,2020,2,Others,TOTAL,5710,3775927.611346662
950,Goa,2020,3,Peer-to-peer payments,TOTAL,759351,2723430713.3444066
951,Goa,2020,3,Recharge & bill payments,TOTAL,696770,280187505.0339355
952,Goa,2020,3,Merchant payments,TOTAL,446880,353193881.4783259
953,Goa,2020,3,Financial Services,TOTAL,4985,6418950.466847964
954,Goa,2020,3,Others,TOTAL,7545,5112530.621144422
955,Goa,2020,4,Peer-to-peer payments,TOTAL,1550251,5407626413.043346
956,Goa,2020,4,Merchant payments,TOTAL,1389834,1123844212.5171819
957,Goa,2020,4,Recharge & bill payments,TOTAL,839199,345088772.3784919
958,Goa,2020,4,Financial Services,TOTAL,7287,10386560.386677971
959,Goa,2020,4,Others,TOTAL,14810,12846789.254236266
960,Goa,2021,1,Peer-to-peer payments,TOTAL,2235456,7553384653.1682
961,Goa,2021,1,Merchant payments,TOTAL,2195509,1768358976.7158575
962,Goa,2021,1,Recharge & bill payments,TOTAL,880682,410604192.7268899
963,Goa,2021,1,Financial Services,TOTAL,8138,12207778.148638733
964,Goa,2021,1,Others,TOTAL,11764,12687278.26183929
965,Goa,2021,2,Merchant payments,TOTAL,1869384,1411529033.6650195
966,Goa,2021,2,Peer-to-peer payments,TOTAL,1866837,6195032351.177256
967,Goa,2021,2,Recharge & bill payments,TOTAL,953219,383804809.3560881
968,Goa,2021,2,Financial Services,TOTAL,8303,12371843.844825167
969,Goa,2021,2,Others,TOTAL,12392,10115549.032816991
970,Goa,2021,3,Merchant payments,TOTAL,2865625,2143135314.897931
971,Goa,2021,3,Peer-to-peer payments,TOTAL,2560305,7871092673.137299
972,Goa,2021,3,Recharge & bill payments,TOTAL,1017351,438838003.22982365
973,Goa,2021,3,Financial Services,TOTAL,8337,12943224.07382146
974,Goa,2021,3,Others,TOTAL,16145,12416377.597493527
975,Goa,2021,4,Merchant payments,TOTAL,5474662,4384250602.937038
976,Goa,2021,4,Peer-to-peer payments,TOTAL,4408822,13618351952.666094
977,Goa,2021,4,Recharge & bill payments,TOTAL,1170180,585734312.4063727
978,Goa,2021,4,Financial Services,TOTAL,11320,17101084.66037453
979,Goa,2021,4,Others,TOTAL,23775,21819163.1997744
980,Goa,2022,1,Merchant payments,TOTAL,6364271,4682000388.389215
981,Goa,2022,1,Peer-to-peer payments,TOTAL,4640380,14449830641.555716
982,Goa,2022,1,Recharge & bill payments,TOTAL,1177071,646403472.1135541
983,Goa,2022,1,Financial Services,TOTAL,11677,17490493.19245399
984,Goa,2022,1,Others,TOTAL,20699,20720407.595174044
985,Goa,2022,2,Merchant payments,TOTAL,7812998,5736211013.6866455
986,Goa,2022,2,Peer-to-peer payments,TOTAL,5097942,16372343177.228306
987,Goa,2022,2,Recharge & bill payments,TOTAL,1279377,738765635.2807853
988,Goa,2022,2,Financial Services,TOTAL,10666,13192736.02810038
989,Goa,2022,2,Others,TOTAL,15071,12525197.296362752
990,Goa,2022,3,Merchant payments,TOTAL,7595135,5112175255.359402
991,Goa,2022,3,Peer-to-peer payments,TOTAL,4449008,13780955270.352726
992,Goa,2022,3,Recharge & bill payments,TOTAL,1122869,657115143.5357426
993,Goa,2022,3,Financial Services,TOTAL,9992,12650738.420843877
994,Goa,2022,3,Others,TOTAL,11683,11368868.03761505
995,Goa,2022,4,Merchant payments,TOTAL,10319138,6739205748.43176
996,Goa,2022,4,Peer-to-peer payments,TOTAL,5652373,17421974714.962345
997,Goa,2022,4,Recharge & bill payments,TOTAL,1195865,734121700.6400625
998,Goa,2022,4,Financial Services,TOTAL,12147,15705663.126967767
999,Goa,2022,4,Others,TOTAL,13151,13978544.178016864
1000,Gujarat,2018,1,Recharge & bill payments,TOTAL,3691952,878929080.9916563
1001,Gujarat,2018,1,Peer-to-peer payments,TOTAL,1738974,6318864759.888066
1002,Gujarat,2018,1,Merchant payments,TOTAL,145436,166036667.57089135
1003,Gujarat,2018,1,Financial Services,TOTAL,122117,27986679.009713165
1004,Gujarat,2018,1,Others,TOTAL,250296,186165067.5737218
1005,Gujarat,2018,2,Recharge & bill payments,TOTAL,4643367,1571880396.377953
1006,Gujarat,2018,2,Peer-to-peer payments,TOTAL,2483231,10009680530.386887
1007,Gujarat,2018,2,Merchant payments,TOTAL,275503,356984574.1205573
1008,Gujarat,2018,2,Financial Services,TOTAL,140704,38598263.22838031
1009,Gujarat,2018,2,Others,TOTAL,202928,185541007.527258
1010,Gujarat,2018,3,Peer-to-peer payments,TOTAL,5287200,15272745137.759302
1011,Gujarat,2018,3,Recharge & bill payments,TOTAL,5117168,1938041688.9678535
1012,Gujarat,2018,3,Merchant payments,TOTAL,573440,466209496.80151117
1013,Gujarat,2018,3,Financial Services,TOTAL,136468,24930605.607339725
1014,Gujarat,2018,3,Others,TOTAL,219873,164477497.1394802
