,State,Year,Quarter,District,Reg_Users,App_Opens
9037,Odisha,2018,2,jajapur district,114580,0
9038,Odisha,2018,2,bargarh district,45700,0
9039,Odisha,2018,2,dhenkanal district,64424,0
9040,Odisha,2018,2,bhadrak district,81249,0
9041,Odisha,2018,2,nuapada district,11826,0
9042,Odisha,2018,2,kendujhar district,83050,0
9043,Odisha,2018,2,mayurbhanj district,71366,0
9044,Odisha,2018,2,jharsuguda district,43568,0
9045,Odisha,2018,2,kandhamal district,15002,0
9046,Odisha,2018,2,deogarh district,7264,0
9047,Odisha,2018,2,sundargarh district,102838,0
9048,Odisha,2018,2,jagatsinghapur district,69081,0
9049,Odisha,2018,2,balangir district,49147,0
9050,Odisha,2018,2,baleshwar district,139968,0
9051,Odisha,2018,2,puri district,97920,0
9052,Odisha,2018,2,sonepur district,22064,0
9053,Odisha,2018,2,khordha district,406689,0
9054,Odisha,2018,2,boudh district,12134,0
9055,Odisha,2018,2,gajapati district,13397,0
9056,Odisha,2018,2,nayagarh district,46904,0
9057,Odisha,2018,2,nabarangpur district,13372,0
9058,Odisha,2018,2,kendrapara district,62080,0
9059,Odisha,2018,2,cuttack district,187723,0
9060,Odisha,2018,3,rayagada district,38980,0
9061,Odisha,2018,3,koraput district,45191,0
9062,Odisha,2018,3,malkangiri district,10882,0
9063,Odisha,2018,3,sambalpur district,79932,0
9064,Odisha,2018,3,kalahandi district,55262,0
9065,Odisha,2018,3,anugul district,97856,0
9066,Odisha,2018,3,ganjam district,217114,0
9067,Odisha,2018,3,jajapur district,149049,0
9068,Odisha,2018,3,bargarh district,60736,0
9069,Odisha,2018,3,dhenkanal district,81576,0
9070,Odisha,2018,3,bhadrak district,105030,0
9071,Odisha,2018,3,nuapada district,15932,0
9072,Odisha,2018,3,kendujhar district,108387,0
9073,Odisha,2018,3,mayurbhanj district,92892,0
9074,Odisha,2018,3,jharsuguda district,57490,0
9075,Odisha,2018,3,kandhamal district,20022,0
9076,Odisha,2018,3,deogarh district,9725,0
9077,Odisha,2018,3,sundargarh district,130288,0
9078,Odisha,2018,3,jagatsinghapur district,87768,0
9079,Odisha,2018,3,balangir district,64699,0
9080,Odisha,2018,3,baleshwar district,180370,0
9081,Odisha,2018,3,puri district,124859,0
9082,Odisha,2018,3,sonepur district,29402,0
9083,Odisha,2018,3,khordha district,499472,0
9084,Odisha,2018,3,boudh district,16146,0
9085,Odisha,2018,3,gajapati district,17730,0
9086,Odisha,2018,3,nayagarh district,61134,0
9087,Odisha,2018,3,nabarangpur district,18387,0
9088,Odisha,2018,3,kendrapara district,80340,0
9089,Odisha,2018,3,cuttack district,239067,0
9090,Odisha,2018,4,rayagada district,51281,0
9091,Odisha,2018,4,koraput district,58321,0
9092,Odisha,2018,4,malkangiri district,15080,0
9093,Odisha,2018,4,sambalpur district,101471,0
9094,Odisha,2018,4,kalahandi district,73404,0
9095,Odisha,2018,4,anugul district,124644,0
9096,Odisha,2018,4,ganjam district,279943,0
9097,Odisha,2018,4,jajapur district,201210,0
9098,Odisha,2018,4,bargarh district,79840,0
9099,Odisha,2018,4,dhenkanal district,104500,0
9100,Odisha,2018,4,bhadrak district,141565,0
9101,Odisha,2018,4,nuapada district,21322,0
9102,Odisha,2018,4,kendujhar district,142222,0
9103,Odisha,2018,4,mayurbhanj district,119705,0
9104,Odisha,2018,4,jharsuguda district,73264,0
9105,Odisha,2018,4,kandhamal district,26556,0
9106,Odisha,2018,4,deogarh district,12875,0
9107,Odisha,2018,4,sundargarh district,166328,0
9108,Odisha,2018,4,jagatsinghapur district,114945,0
9109,Odisha,2018,4,balangir district,85126,0
9110,Odisha,2018,4,baleshwar district,231913,0
9111,Odisha,2018,4,puri district,163528,0
9112,Odisha,2018,4,sonepur district,39160,0
9113,Odisha,2018,4,khordha district,626645,0
9114,Odisha,2018,4,boudh district,22366,0
9115,Odisha,2018,4,gajapati district,23328,0
9116,Odisha,2018,4,nayagarh district,81395,0
9117,Odisha,2018,4,nabarangpur district,24855,0
9118,Odisha,2018,4,kendrapara district,106782,0
9119,Odisha,2018,4,cuttack district,310337,0
9120,Odisha,2019,1,rayagada district,62764,0
9121,Odisha,2019,1,koraput district,70168,0
9122,Odisha,2019,1,malkangiri district,18853,0
9123,Odisha,2019,1,sambalpur district,120726,0
9124,Odisha,2019,1,kalahandi district,88614,0
9125,Odisha,2019,1,anugul district,150627,0
9126,Odisha,2019,1,ganjam district,332190,0
9127,Odisha,2019,1,jajapur district,236643,0
9128,Odisha,2019,1,bargarh district,95811,0
9129,Odisha,2019,1,dhenkanal district,123780,0
9130,Odisha,2019,1,bhadrak district,166600,0
9131,Odisha,2019,1,nuapada district,26448,0
9132,Odisha,2019,1,kendujhar district,167750,0
9133,Odisha,2019,1,mayurbhanj district,141789,0
9134,Odisha,2019,1,jharsuguda district,86772,0
9135,Odisha,2019,1,kandhamal district,32425,0
9136,Odisha,2019,1,deogarh district,15760,0
9137,Odisha,2019,1,sundargarh district,198716,0
9138,Odisha,2019,1,jagatsinghapur district,138170,0
9139,Odisha,2019,1,balangir district,103334,0
9140,Odisha,2019,1,baleshwar district,271095,0
9141,Odisha,2019,1,puri district,195690,0
9142,Odisha,2019,1,sonepur district,46710,0
9143,Odisha,2019,1,khordha district,745457,0
9144,Odisha,2019,1,boudh district,27059,0
9145,Odisha,2019,1,gajapati district,29177,0
9146,Odisha,2019,1,nayagarh district,95412,0
9147,Odisha,2019,1,nabarangpur district,31360,0
9148,Odisha,2019,1,kendrapara district,128331,0
9149,Odisha,2019,1,cuttack district,372513,0
9150,Odisha,2019,2,rayagada district,72305,495755
9151,Odisha,2019,2,koraput district,81022,495742
9152,Odisha,2019,2,malkangiri district,22415,118642
9153,Odisha,2019,2,sambalpur district,135529,883414
9154,Odisha,2019,2,kalahandi district,101439,594930
9155,Odisha,2019,2,anugul district,169261,1111495
9156,Odisha,2019,2,ganjam district,373530,2473198
9157,Odisha,2019,2,jajapur district,260311,1846911
9158,Odisha,2019,2,bargarh district,108642,590814
9159,Odisha,2019,2,dhenkanal district,137527,892725
9160,Odisha,2019,2,bhadrak district,187084,1241073
9161,Odisha,2019,2,nuapada district,31028,169508
9162,Odisha,2019,2,kendujhar district,188657,1240564
9163,Odisha,2019,2,mayurbhanj district,160372,914245
9164,Odisha,2019,2,jharsuguda district,96854,666626
9165,Odisha,2019,2,kandhamal district,37163,224490
9166,Odisha,2019,2,deogarh district,18095,115108
9167,Odisha,2019,2,sundargarh district,226776,1387389
9168,Odisha,2019,2,jagatsinghapur district,153830,978199
9169,Odisha,2019,2,balangir district,117914,675453
9170,Odisha,2019,2,baleshwar district,299757,1895403
9171,Odisha,2019,2,puri district,217206,1311018
9172,Odisha,2019,2,sonepur district,51948,322469
9173,Odisha,2019,2,khordha district,826007,7930262
9174,Odisha,2019,2,boudh district,30269,181501
9175,Odisha,2019,2,gajapati district,34063,228235
9176,Odisha,2019,2,nayagarh district,106745,714824
9177,Odisha,2019,2,nabarangpur district,37091,215008
9178,Odisha,2019,2,kendrapara district,144710,977239
9179,Odisha,2019,2,cuttack district,417809,3063305
9180,Odisha,2019,3,rayagada district,81196,1883106
9181,Odisha,2019,3,koraput district,90678,1770193
9182,Odisha,2019,3,malkangiri district,25857,446171
9183,Odisha,2019,3,sambalpur district,149742,3503548
9184,Odisha,2019,3,kalahandi district,112424,2118541
9185,Odisha,2019,3,anugul district,187022,4028738
9186,Odisha,2019,3,ganjam district,414068,8383336
9187,Odisha,2019,3,jajapur district,290776,6991225
9188,Odisha,2019,3,bargarh district,119622,1973668
9189,Odisha,2019,3,dhenkanal district,150597,3279953
9190,Odisha,2019,3,bhadrak district,208757,4377167
9191,Odisha,2019,3,nuapada district,34914,568521
9192,Odisha,2019,3,kendujhar district,208218,4496490
9193,Odisha,2019,3,mayurbhanj district,176327,3166440
9194,Odisha,2019,3,jharsuguda district,106457,2336777
9195,Odisha,2019,3,kandhamal district,41900,795760
9196,Odisha,2019,3,deogarh district,19720,385807
9197,Odisha,2019,3,sundargarh district,253356,5131770
9198,Odisha,2019,3,jagatsinghapur district,171851,3598002
9199,Odisha,2019,3,balangir district,130092,2336121
9200,Odisha,2019,3,baleshwar district,329289,7191498
9201,Odisha,2019,3,puri district,247141,5911543
9202,Odisha,2019,3,sonepur district,56059,1076619
9203,Odisha,2019,3,khordha district,916565,33532118
9204,Odisha,2019,3,boudh district,33031,649830
9205,Odisha,2019,3,gajapati district,38597,854904
9206,Odisha,2019,3,nayagarh district,118109,2576604
9207,Odisha,2019,3,nabarangpur district,41265,760438
9208,Odisha,2019,3,kendrapara district,160728,3266982
9209,Odisha,2019,3,cuttack district,472851,12789586
9210,Odisha,2019,4,rayagada district,92855,2572175
9211,Odisha,2019,4,koraput district,102837,2326008
9212,Odisha,2019,4,malkangiri district,31023,632262
9213,Odisha,2019,4,sambalpur district,168622,4708646
9214,Odisha,2019,4,kalahandi district,129224,3046813
9215,Odisha,2019,4,anugul district,211167,5740433
9216,Odisha,2019,4,ganjam district,469522,12099189
9217,Odisha,2019,4,jajapur district,332074,10791411
9218,Odisha,2019,4,bargarh district,136729,3019216
9219,Odisha,2019,4,dhenkanal district,170565,5199811
9220,Odisha,2019,4,bhadrak district,243586,7595626
9221,Odisha,2019,4,nuapada district,40688,821156
9222,Odisha,2019,4,kendujhar district,234041,6256026
9223,Odisha,2019,4,mayurbhanj district,203618,4795515
9224,Odisha,2019,4,jharsuguda district,117987,3043576
9225,Odisha,2019,4,kandhamal district,48304,1084664
9226,Odisha,2019,4,deogarh district,22648,574934
9227,Odisha,2019,4,sundargarh district,284913,6637700
9228,Odisha,2019,4,jagatsinghapur district,197964,5466695
9229,Odisha,2019,4,balangir district,148963,3375561
9230,Odisha,2019,4,baleshwar district,377976,13408306
9231,Odisha,2019,4,puri district,285955,8659610
9232,Odisha,2019,4,sonepur district,62975,1776783
9233,Odisha,2019,4,khordha district,1014134,44567691
9234,Odisha,2019,4,boudh district,37879,1013838
9235,Odisha,2019,4,gajapati district,44569,1166530
9236,Odisha,2019,4,nayagarh district,135006,4436958
9237,Odisha,2019,4,nabarangpur district,48075,1054713
9238,Odisha,2019,4,kendrapara district,186668,5492952
9239,Odisha,2019,4,cuttack district,534970,18540921
9240,Odisha,2020,1,rayagada district,103064,3025726
9241,Odisha,2020,1,koraput district,113919,2622470
9242,Odisha,2020,1,malkangiri district,36017,810134
9243,Odisha,2020,1,sambalpur district,183534,4724765
9244,Odisha,2020,1,kalahandi district,142961,3197740
9245,Odisha,2020,1,anugul district,228339,5485228
9246,Odisha,2020,1,ganjam district,512643,12390552
9247,Odisha,2020,1,jajapur district,359087,9687172
9248,Odisha,2020,1,bargarh district,150139,2865892
9249,Odisha,2020,1,dhenkanal district,184164,4758117
9250,Odisha,2020,1,bhadrak district,265259,6416683
9251,Odisha,2020,1,nuapada district,46063,928386
9252,Odisha,2020,1,kendujhar district,253988,6031627
9253,Odisha,2020,1,mayurbhanj district,223893,4509442
9254,Odisha,2020,1,jharsuguda district,127804,3176128
9255,Odisha,2020,1,kandhamal district,53868,1143401
9256,Odisha,2020,1,deogarh district,25015,588130
9257,Odisha,2020,1,sundargarh district,313040,7099354
9258,Odisha,2020,1,jagatsinghapur district,216687,5184722
9259,Odisha,2020,1,balangir district,164257,3439280
9260,Odisha,2020,1,baleshwar district,410789,9737201
9261,Odisha,2020,1,puri district,311477,7876252
9262,Odisha,2020,1,sonepur district,68480,1509358
9263,Odisha,2020,1,khordha district,1083466,40264249
9264,Odisha,2020,1,boudh district,41238,931633
9265,Odisha,2020,1,gajapati district,49762,1430994
9266,Odisha,2020,1,nayagarh district,145821,3586937
9267,Odisha,2020,1,nabarangpur district,54715,1277587
9268,Odisha,2020,1,kendrapara district,205010,5058749
9269,Odisha,2020,1,cuttack district,578471,16160713
9270,Odisha,2020,2,rayagada district,114240,2859051
9271,Odisha,2020,2,koraput district,126636,2588267
9272,Odisha,2020,2,malkangiri district,41696,882743
9273,Odisha,2020,2,sambalpur district,201035,3888601
9274,Odisha,2020,2,kalahandi district,160811,3389921
9275,Odisha,2020,2,anugul district,248700,5337471
9276,Odisha,2020,2,ganjam district,560047,11974700
9277,Odisha,2020,2,jajapur district,387797,9254465
9278,Odisha,2020,2,bargarh district,167531,3024771
9279,Odisha,2020,2,dhenkanal district,200973,4661195
9280,Odisha,2020,2,bhadrak district,289015,6485760
9281,Odisha,2020,2,nuapada district,53151,1077096
9282,Odisha,2020,2,kendujhar district,277734,5986548
9283,Odisha,2020,2,mayurbhanj district,247446,4440857
9284,Odisha,2020,2,jharsuguda district,140220,3167223
9285,Odisha,2020,2,kandhamal district,61330,1296520
9286,Odisha,2020,2,deogarh district,28252,638794
9287,Odisha,2020,2,sundargarh district,346937,6566112
9288,Odisha,2020,2,jagatsinghapur district,236758,5379176
9289,Odisha,2020,2,balangir district,183430,3519674
9290,Odisha,2020,2,baleshwar district,445299,8652777
9291,Odisha,2020,2,puri district,338770,7420337
9292,Odisha,2020,2,sonepur district,75331,1530473
9293,Odisha,2020,2,khordha district,1152010,23751632
9294,Odisha,2020,2,boudh district,45662,940501
9295,Odisha,2020,2,gajapati district,55642,1371800
9296,Odisha,2020,2,nayagarh district,157747,3696555
9297,Odisha,2020,2,nabarangpur district,62742,1303051
9298,Odisha,2020,2,kendrapara district,226451,5599454
9299,Odisha,2020,2,cuttack district,624922,13997247
9300,Odisha,2020,3,rayagada district,126410,3762788
9301,Odisha,2020,3,koraput district,141282,3437166
9302,Odisha,2020,3,malkangiri district,47520,1095975
9303,Odisha,2020,3,sambalpur district,219120,5114268
9304,Odisha,2020,3,kalahandi district,178315,4193630
9305,Odisha,2020,3,anugul district,270460,6884775
9306,Odisha,2020,3,ganjam district,611699,16162114
9307,Odisha,2020,3,jajapur district,417525,11824235
9308,Odisha,2020,3,bargarh district,184711,3628788
9309,Odisha,2020,3,dhenkanal district,218003,5681950
9310,Odisha,2020,3,bhadrak district,314312,8166867
9311,Odisha,2020,3,nuapada district,59403,1258669
9312,Odisha,2020,3,kendujhar district,302384,7716764
9313,Odisha,2020,3,mayurbhanj district,270844,5578497
9314,Odisha,2020,3,jharsuguda district,152813,4003243
9315,Odisha,2020,3,kandhamal district,69124,1578514
9316,Odisha,2020,3,deogarh district,31745,770291
9317,Odisha,2020,3,sundargarh district,381666,8667464
9318,Odisha,2020,3,jagatsinghapur district,257975,6866006
9319,Odisha,2020,3,balangir district,201628,4376520
9320,Odisha,2020,3,baleshwar district,481741,11256058
9321,Odisha,2020,3,puri district,369877,9556331
9322,Odisha,2020,3,sonepur district,81435,1721885
9323,Odisha,2020,3,khordha district,1232760,37649694
9324,Odisha,2020,3,boudh district,49769,1111802
9325,Odisha,2020,3,gajapati district,62087,1854939
9326,Odisha,2020,3,nayagarh district,170588,4500388
9327,Odisha,2020,3,nabarangpur district,70877,1618683
